CO_CURSO,CO_AREA,NM_AREA
1259131,1,Educação
1258115,3,Ciências Sociais
68433,3,Ciências Sociais
52052,5,Engenharia
18061,3,Ciências Sociais
1288733,7,Saúde e Bem-Estar
1303755,4,Ciências
6578,1,Educação
38315,7,Saúde e Bem-Estar
114977,3,Ciências Sociais
108718,3,Ciências Sociais
100497,1,Educação
115754,7,Saúde e Bem-Estar
41598,3,Ciências Sociais
60409,7,Saúde e Bem-Estar
1405690,5,Engenharia
66213,1,Educação
73406,7,Saúde e Bem-Estar
56030,1,Educação
1322493,5,Engenharia
319477,4,Ciências
1357954,3,Ciências Sociais
1184432,7,Saúde e Bem-Estar
39393,1,Educação
46943,1,Educação
38264,7,Saúde e Bem-Estar
1376092,3,Ciências Sociais
33206,2,Humanidades e Artes
10752,7,Saúde e Bem-Estar
96921,3,Ciências Sociais
4865,1,Educação
1102672,8,Serviços
1149951,3,Ciências Sociais
17406,4,Ciências
1153688,7,Saúde e Bem-Estar
29835,1,Educação
110032,3,Ciências Sociais
1330499,7,Saúde e Bem-Estar
121748,1,Educação
48883,3,Ciências Sociais
5000518,4,Ciências
29957,2,Humanidades e Artes
1293428,7,Saúde e Bem-Estar
1303502,3,Ciências Sociais
59461,1,Educação
1364558,7,Saúde e Bem-Estar
1315751,6,Agricultura e Veterinária
118980,3,Ciências Sociais
98039,7,Saúde e Bem-Estar
117348,3,Ciências Sociais
1303518,7,Saúde e Bem-Estar
80362,7,Saúde e Bem-Estar
88334,3,Ciências Sociais
11595,7,Saúde e Bem-Estar
1283852,5,Engenharia
38071,7,Saúde e Bem-Estar
32727,3,Ciências Sociais
107520,1,Educação
68421,8,Serviços
98054,3,Ciências Sociais
1286455,5,Engenharia
9954,1,Educação
1210855,5,Engenharia
1284512,7,Saúde e Bem-Estar
1268257,3,Ciências Sociais
1136340,5,Engenharia
1280118,8,Serviços
56642,2,Humanidades e Artes
98255,8,Serviços
121802,1,Educação
1185991,5,Engenharia
1205525,4,Ciências
1438765,3,Ciências Sociais
18139,3,Ciências Sociais
1167917,3,Ciências Sociais
84352,7,Saúde e Bem-Estar
71809,3,Ciências Sociais
30759,3,Ciências Sociais
1357989,7,Saúde e Bem-Estar
1303649,5,Engenharia
51805,1,Educação
122318,4,Ciências
3495,1,Educação
17301,3,Ciências Sociais
1351599,5,Engenharia
1116833,1,Educação
11535,1,Educação
74444,6,Agricultura e Veterinária
1106707,5,Engenharia
117899,1,Educação
1385373,1,Educação
101300,1,Educação
1292705,3,Ciências Sociais
99302,5,Engenharia
1115964,4,Ciências
1139137,3,Ciências Sociais
1153086,3,Ciências Sociais
1202246,8,Serviços
104648,7,Saúde e Bem-Estar
52048,4,Ciências
19990,4,Ciências
1286760,3,Ciências Sociais
98558,1,Educação
1169713,2,Humanidades e Artes
32834,1,Educação
1116795,2,Humanidades e Artes
49991,3,Ciências Sociais
76038,5,Engenharia
1300008,1,Educação
94246,7,Saúde e Bem-Estar
1036342,3,Ciências Sociais
51281,7,Saúde e Bem-Estar
11167,3,Ciências Sociais
1121606,3,Ciências Sociais
112076,3,Ciências Sociais
76455,8,Serviços
53353,3,Ciências Sociais
46502,3,Ciências Sociais
1321643,7,Saúde e Bem-Estar
51694,3,Ciências Sociais
1261405,8,Serviços
1352387,1,Educação
