CO_GRUPO,NM_GRUPO
1,ADMINISTRAÇÃO
2,DIREITO
5,MEDICINA VETERINÁRIA
6,ODONTOLOGIA
12,MEDICINA
13,CIÊNCIAS ECONÔMICAS
17,AGRONOMIA
18,PSICOLOGIA
19,FARMÁCIA
21,ARQUITETURA E URBANISMO
22,CIÊNICAS CONTÁBEIS
23,ENFERMAGEM
26,DESIGN
27,FONOAUDIOLOGIA
28,NUTRIÇÃO
29,TURISMO
35,EDUCAÇÃO FÍSICA
36,FISIOTERAPIA
38,SERVIÇO SOCIAL
51,ZOOTECNIA
52,TERAPIA OCUPACIONAL
55,BIOMEDICINA
67,SECRETARIADO EXECUTIVO
69,TECNOLOGIA EM RADIOLOGIA
70,TECNOLOGIA EM AGROINDÚSTRIA
71,TECNOLOGIA EM ALIMENTOS
72,TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
73,TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL
74,TECNOLOGIA EM CONSTRUÇÃO DE EDIFÍCIOS
75,TECNOLOGIA EM FABRICAÇÃO MECÂNICA
76,TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL
77,TECNOLOGIA EM MANUTENÇÃO INDUSTRIAL
78,TECNOLOGIA EM PROCESSOS QUÍMICOS
79,TECNOLOGIA EM REDES DE COMPUTADORES
80,TECNOLOGIA EM SANEAMENTO AMBIENTAL
81,RELAÇÕES INTERNACIONAIS
83,TECNOLOGIA EM DESIGN DE MODA
84,TECNOLOGIA EM MARKETING
85,TECNOLOGIA EM PROCESSOS GERENCIAIS
86,TECNOLOGIA EM GESTÃO DE RECURSOS HUMANOS
87,TECNOLOGIA EM GESTÃO FINANCEIRA
88,TECNOLOGIA EM GASTRONOMIA
90,TECNOLOGIA EM AGRONEGÓCIOS
91,TECNOLOGIA EM GESTÃO HOSPITALAR
92,TECNOLOGIA EM GESTÃO AMBIENTAL
93,TECNOLOGIA EM GESTÃO COMERCIAL
94,TECNOLOGIA EM LOGÍSTICA
95,TECNOLOGIA EM ESTÉTICA E COSMÉTICA
100,ADMINISTRAÇÃO PÚBLICA
101,TEOLOGIA
102,TECNOLOGIA EM COMÉRCIO EXTERIOR
103,TECNOLOGIA EM DESIGN DE INTERIORES
104,TECNOLOGIA EM DESIGN GRÁFICO
105,TECNOLOGIA EM GESTÃO DA QUALIDADE
106,TECNOLOGIA EM GESTÃO PÚBLICA
701,MATEMÁTICA (BACHARELADO)
702,MATEMÁTICA (LICENCIATURA)
803,JORNALISMO
804,PUBLICIDADE E PROPAGANDA
901,LETRAS (BACHARELADO)
902,LETRAS (LICENCIATURA)
903,LETRAS-PORTUGUÊS (BACHARELADO)
904,LETRAS-PORTUGUÊS (LICENCIATURA)
905,LETRAS-PORTUGUÊS E INGLÊS (LICENCIATURA)
