CO_IES,NM_IES,CATEG_ADM,CO_UF,NM_UF,NM_REGIAO
1,UFMT,Pública Federal,51,MT,Centro-Oeste
2,UNB,Pública Federal,53,DF,Centro-Oeste
3,UFS,Pública Federal,28,SE,Nordeste
4,UFAM,Pública Federal,13,AM,Norte
5,UFPI,Pública Federal,22,PI,Nordeste
6,UFOP,Pública Federal,31,MG,Sudeste
7,UFSCAR,Pública Federal,35,SP,Sudeste
8,UFV,Pública Federal,31,MG,Sudeste
9,UEL,Pública Estadual,41,PR,Sul
10,PUCPR,Privada sem fins lucrativos,41,PR,Sul
11,UNICAP,Privada sem fins lucrativos,26,PE,Nordeste
12,FURG,Pública Federal,43,RS,Sul
13,UCS,Privada sem fins lucrativos,43,RS,Sul
14,UNISINOS,Privada sem fins lucrativos,43,RS,Sul
15,UCP,Privada sem fins lucrativos,33,RJ,Sudeste
17,UFU,Pública Federal,31,MG,Sudeste
18,UCPEL,Privada sem fins lucrativos,43,RS,Sul
19,PUC-CAMPINAS,Privada sem fins lucrativos,35,SP,Sudeste
20,UPF,Privada sem fins lucrativos,43,RS,Sul
21,PUCRS,Privada sem fins lucrativos,43,RS,Sul
22,MACKENZIE,Privada sem fins lucrativos,35,SP,Sudeste
23,FEEVALE,Privada sem fins lucrativos,43,RS,Sul
24,UESC,Pública Estadual,29,BA,Nordeste
26,ENCE,Pública Federal,33,RJ,Sudeste
27,UNINCOR,Privada sem fins lucrativos,31,MG,Sudeste
29,UECE,Pública Estadual,23,CE,Nordeste
30,UNIFENAS,Privada sem fins lucrativos,31,MG,Sudeste
31,UTRAMIG,Pública Estadual,31,MG,Sudeste
32,UNCISAL,Pública Estadual,27,AL,Nordeste
33,FATEC SO,Pública Estadual,35,SP,Sudeste
34,FATEC-SP,Pública Estadual,35,SP,Sudeste
35,FATEC-AM,Pública Estadual,35,SP,Sudeste
36,FATEC-BS,Pública Estadual,35,SP,Sudeste
37,FATEC-JAHU,Pública Estadual,35,SP,Sudeste
38,UEPA,Pública Estadual,15,PA,Norte
40,UNEB,Pública Estadual,29,BA,Nordeste
43,UDESC,Pública Estadual,42,SC,Sul
47,UEG,Pública Estadual,52,GO,Centro-Oeste
54,UNICAMP,Pública Estadual,35,SP,Sudeste
55,USP,Pública Estadual,35,SP,Sudeste
56,UNESP,Pública Estadual,35,SP,Sudeste
57,UEM,Pública Estadual,41,PR,Sul
58,FDSBC,Pública Municipal,35,SP,Sudeste
67,EEP/FUMEP,Pública Municipal,35,SP,Sudeste
68,FAFIPE,Privada sem fins lucrativos,35,SP,Sudeste
71,UERN,Pública Estadual,24,RN,Nordeste
72,FAMASUL,Pública Municipal,26,PE,Nordeste
73,CESA,Pública Municipal,26,PE,Nordeste
74,FFCL,Pública Municipal,35,SP,Sudeste
77,FERLAGOS,Privada sem fins lucrativos,33,RJ,Sudeste
78,FAFIA,Pública Municipal,32,ES,Sudeste
81,UNIVILLE,Privada sem fins lucrativos,42,SC,Sul
82,UNOESC,Privada sem fins lucrativos,42,SC,Sul
83,UNIVALI,Privada sem fins lucrativos,42,SC,Sul
84,FAFIMA,Privada sem fins lucrativos,33,RJ,Sudeste
87,UNIFEBE,Privada sem fins lucrativos,42,SC,Sul
93,FMJ,Pública Municipal,35,SP,Sudeste
94,ESEFJ,Pública Municipal,35,SP,Sudeste
95,UVA,Pública Estadual,23,CE,Nordeste
99,FDCL,Privada sem fins lucrativos,31,MG,Sudeste
107,UFSJ,Pública Federal,31,MG,Sudeste
109,FIRB,Privada com fins lucrativos,35,SP,Sudeste
124,UNIARA,Privada sem fins lucrativos,35,SP,Sudeste
125,UNAR,Privada sem fins lucrativos,35,SP,Sudeste
126,INATEL,Privada sem fins lucrativos,31,MG,Sudeste
131,FAEFI,Privada sem fins lucrativos,35,SP,Sudeste
135,CEUCLAR,Privada sem fins lucrativos,35,SP,Sudeste
137,USC,Privada sem fins lucrativos,35,SP,Sudeste
138,CBM,Privada sem fins lucrativos,35,SP,Sudeste
139,FCETM,Privada sem fins lucrativos,31,MG,Sudeste
140,USS,Privada sem fins lucrativos,33,RJ,Sudeste
141,FADIVA,Privada sem fins lucrativos,31,MG,Sudeste
142,UNITRI,Privada sem fins lucrativos,31,MG,Sudeste
143,UNIUBE,Privada sem fins lucrativos,31,MG,Sudeste
144,FACHO,Privada sem fins lucrativos,26,PE,Nordeste
