COD,IES
1,UFMT
2,UNB
3,UFS
4,UFAM
6,UFOP
26,ENCE
107,UFSJ
549,UFAC
4016,INES
602,ITA
633,IME
634,UFPEL
693,UNIRIO
694,UFMS
789,UFRR
830,UNIFAP
7,UFSCAR
548,UFMA
592,UFLA
598,UNIFEI
717,UFCSPA
588,UTFPR
574,UFRRJ
596,UFVJM
4503,UFRB
17,UFU
591,UNIFESP
4925,UFABC
570,UFRN
581,UFRGS
5,UFPI
3984,UNIVASF
2564,UFCG
15059,UFOPA
582,UFSM
15121,UFFS
5322,UNIPAMPA
584,UFG
595,UNIFAL-MG
583,UFC
597,UFTM
3849,UFT
569,UFPA
575,UFMG
586,UFRJ
580,UFPE
4504,UFGD
699,UNIR
8,UFV
572,UFF
579,UFPB
573,UFES
585,UFSC
578,UFBA
571,UFPR
12,FURG
587,UFRPE
15001,UNILA
577,UFAL
576,UFJF
589,UFERSA
18440,UNIFESSPA
18506,UFOB
18759,UFCA
18812,UFESBA
590,UFRA
594,CEFET/MG
593,CEFET/RJ
15497,UNILAB
